Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;MissPercent;RandomKeys;Size;Type
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,943079;1,219439;ns/op;0;true;6502;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,672787;1,002004;ns/op;0;true;6502;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,68393;1,701965;ns/op;0;true;6502;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,488226;0,439794;ns/op;0;true;6502;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,817416;0,374293;ns/op;0;true;7298;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,04822;1,085718;ns/op;0;true;7298;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,081684;0,158204;ns/op;0;true;7298;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;16,014106;0,388419;ns/op;0;true;7298;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,931017;0,095797;ns/op;0;true;7298;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,086319;1,074215;ns/op;0;true;7298;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,415347;1,001542;ns/op;0;true;7298;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,132133;0,636667;ns/op;0;true;7298;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,719705;1,388359;ns/op;0;true;8192;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,483285;1,521828;ns/op;0;true;8192;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,859345;0,337258;ns/op;0;true;8192;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;16,815685;1,385748;ns/op;0;true;8192;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,550565;0,461339;ns/op;0;true;8192;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,012524;0,273842;ns/op;0;true;8192;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,95267;0,411468;ns/op;0;true;8192;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,064226;0,207606;ns/op;0;true;8192;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,298435;0,425261;ns/op;0;true;9195;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,87706;1,262669;ns/op;0;true;9195;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,233183;0,695151;ns/op;0;true;9195;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;16,53822;1,084793;ns/op;0;true;9195;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,997253;1,99096;ns/op;0;true;9195;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,337823;0,640303;ns/op;0;true;9195;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,548391;0,437482;ns/op;0;true;9195;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,718018;1,938003;ns/op;0;true;9195;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,311104;1,665185;ns/op;0;true;10321;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,581073;0,68564;ns/op;0;true;10321;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,472355;0,369572;ns/op;0;true;10321;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;17,03084;1,423738;ns/op;0;true;10321;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,370854;1,260634;ns/op;0;true;10321;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,30776;2,578522;ns/op;0;true;10321;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,661609;0,182837;ns/op;0;true;10321;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,817023;2,008493;ns/op;0;true;10321;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;15,47784;2,718068;ns/op;0;true;11585;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,590234;0,592578;ns/op;0;true;11585;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,286812;1,443381;ns/op;0;true;11585;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;18,173969;2,263595;ns/op;0;true;11585;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,089015;2,280782;ns/op;0;true;11585;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,542779;0,268677;ns/op;0;true;11585;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,736899;0,875841;ns/op;0;true;11585;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;15,739132;0,548078;ns/op;0;true;11585;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,688493;0,083127;ns/op;0;true;13004;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;14,863804;0,821869;ns/op;0;true;13004;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,361482;0,197316;ns/op;0;true;13004;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;19,459371;2,374386;ns/op;0;true;13004;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;10,868194;0,900298;ns/op;0;true;13004;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,073772;0,261197;ns/op;0;true;13004;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,423783;0,656877;ns/op;0;true;13004;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,239254;0,937518;ns/op;0;true;13004;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,607915;0,364066;ns/op;0;true;14596;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;17,287371;3,169859;ns/op;0;true;14596;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,149394;0,351154;ns/op;0;true;14596;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;19,334635;0,685078;ns/op;0;true;14596;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,367198;0,949406;ns/op;0;true;14596;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,456223;0,324834;ns/op;0;true;14596;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,519775;0,144536;ns/op;0;true;14596;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,01922;0,761643;ns/op;0;true;14596;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,006319;0,803937;ns/op;0;true;16384;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,352862;0,166499;ns/op;0;true;16384;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,937876;0,079741;ns/op;0;true;16384;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;18,40746;0,766714;ns/op;0;true;16384;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,34236;1,364974;ns/op;0;true;16384;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;12,974551;0,333857;ns/op;0;true;16384;Koloboke
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;11,97572;0,190036;ns/op;0;true;16384;OpenLinearFibonacci
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;13,009458;0,500441;ns/op;0;true;16384;RobinHood
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;28,72273;2,889018;ns/op;0;true;1024000;Array
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;28,394521;2,001597;ns/op;0;true;1024000;Array94
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;26,905337;1,126749;ns/op;0;true;1024000;Cellar
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;51,010529;2,322655;ns/op;0;true;1024000;LockFree
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;27,435358;1,847328;ns/op;0;true;1024000;FastUtil
org.kblees.hashtable.primitive.IntSetContainsBenchmark.contains;avgt;8;9;29,436139;2,159042;ns/op;0;true;1024000;Koloboke
