Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;HashTable;Key;MissPercent;RandomKeys;Size;UseCapacity
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;14,735929;6,048897;ns/op;LockFree;Int;0;false;2580;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;15,692278;6,088081;ns/op;LockFree;Int;0;false;2896;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,045025;7,403253;ns/op;LockFree;Int;0;false;3251;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;21,185423;4,909188;ns/op;LockFree;Int;0;false;3649;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,088502;4,416692;ns/op;LockFree;Int;0;false;4096;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;16,490977;3,485717;ns/op;LockFree;Int;0;false;4598;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;19,079258;22,812145;ns/op;LockFree;Int;0;false;5161;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;18,201991;10,124794;ns/op;LockFree;Int;0;false;5793;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;18,270297;4,25956;ns/op;LockFree;Int;0;false;6502;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;17,852016;7,237441;ns/op;LockFree;Int;0;false;7298;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;20,306592;5,395692;ns/op;LockFree;Int;0;false;8192;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;25,979776;5,50932;ns/op;LockFree;Int;0;false;9195;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;21,543388;1,256184;ns/op;LockFree;Int;0;false;10321;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;23,081358;7,150534;ns/op;LockFree;Int;0;false;11585;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;23,491995;1,937666;ns/op;LockFree;Int;0;false;13004;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;24,606727;4,665685;ns/op;LockFree;Int;0;false;14596;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;25,731934;1,738109;ns/op;LockFree;Int;0;false;16384;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;208,164519;25,061638;ns/op;LockFree;Int;0;false;1024000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;209,026229;27,599359;ns/op;LockFree;Int;0;false;1149000;true
org.kblees.hashtable.GetBenchmark.contains;avgt;8;3;213,766362;31,411981;ns/op;LockFree;Int;0;false;1290000;true
