Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;RandomKeys;Size;Type;UseCapacity
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,989917;0,00009;B/op;true;7298;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,991022;0,00005;B/op;true;7298;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,98991;0,000075;B/op;true;7298;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;5,508815;0,000027;B/op;true;8192;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;16,015222;0,000623;B/op;true;8192;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,011776;0,000129;B/op;true;8192;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,009856;0,000036;B/op;true;8192;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,008837;0,000087;B/op;true;8192;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,009833;0,000123;B/op;true;8192;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,008837;0,00006;B/op;true;8192;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;9,807998;0,000058;B/op;true;9195;SeparateChaining;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;14,268265;0,000856;B/op;true;9195;LockFree;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,137858;0,000071;B/op;true;9195;FastUtil;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,136137;0,000152;B/op;true;9195;Koloboke;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,135221;0,000077;B/op;true;9195;OpenLinearFibonacci;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,136139;0,000093;B/op;true;9195;OpenLinearMixModulo;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;7,135227;0,000112;B/op;true;9195;RobinHood;true
org.kblees.hashtable.primitive.IntSetAddBenchmark.add:·gc.alloc.rate.norm;avgt;1;5;8,737959;0,000066;B/op;true;10321;SeparateChaining;true
